country,article_name,revision_id,article_quality,population
Chad,Bir I of Kanem,355319463,Stub,15.4
Chad,Abdullah II of Kanem,498683267,Stub,15.4
Chad,Salmama II of Kanem,565745353,Stub,15.4
Chad,Kuri I of Kanem,565745365,Stub,15.4
Chad,Mohammed I of Kanem,565745375,Stub,15.4
Chad,Kuri II of Kanem,669719757,Stub,15.4
Chad,Bir II of Kanem,670893206,Stub,15.4
Chad,Mahamat Hissene,693055898,Stub,15.4
Chad,Othman I,705432607,Stub,15.4
Chad,Alphonse Kotiga,707593108,Stub,15.4
Chad,Oueddei Kichidemi,708346649,Start,15.4
Chad,Dunama I,710675092,Stub,15.4
Chad,Ahmad (Kanem-Bornu king),711388267,Stub,15.4
Chad,Djibrine Kerallah,712971263,Stub,15.4
Chad,Maurice Ngangtar,712971315,Stub,15.4
Chad,Idriss Miskine,712971738,Stub,15.4
Chad,Laoukein Kourayo Médard,716886170,Stub,15.4
Chad,Nadji Madou,716886788,Stub,15.4
Chad,Noël Milarew Odingar,716891799,Start,15.4
Chad,Yaya Dillo Djérou,717733209,Stub,15.4
Chad,Acheikh Ibn-Oumar,719821590,Start,15.4
Chad,Quatre Sou Quatre,720066754,Stub,15.4
Chad,Ali Gazi,722563340,Stub,15.4
Chad,Mahamat Djarma Khatir,725132042,Stub,15.4
Chad,Dunama IX Lefiami,731749611,Stub,15.4
Chad,Dawud of Kanem,736550266,Stub,15.4
Chad,Ahmed Koulamallah,738855197,Start,15.4
Chad,Abbo Nassour,741369486,C,15.4
Chad,Abdel Kader Baba-Laddé,742213176,Stub,15.4
Chad,Hummay,747271475,Stub,15.4
Chad,Ngarlejy Yorongar,751304544,C,15.4
Chad,Saleh Kezabo,751380073,Stub,15.4
Chad,Bourkou Louise Kabo,757072468,Start,15.4
Chad,Brahim Koulamallah,757802238,Stub,15.4
Chad,Saadie Goukouni Weddeye,757842614,Start,15.4
Chad,Mahamoud Adam Béchir,762579466,Start,15.4
Chad,Kalthouma Nguembang,762816132,Stub,15.4
Chad,Djidingar Dono Ngardoum,764133533,Stub,15.4
Chad,Youssouf Saleh Abbas,771052289,B,15.4
Chad,Koibla Djimasta,774223245,Start,15.4
Chad,Nassour Guelendouksia Ouaido,774223248,C,15.4
Chad,Joseph Brahim Seid,777478442,Stub,15.4
Chad,Joseph Yodoyman,777550078,Start,15.4
Chad,Antoine Bangui,782638002,Start,15.4
Chad,Ibrahim IV of Bornu,785614014,Stub,15.4
Chad,Hadjé Halimé,786449636,C,15.4
Chad,Youssouf Togoïmi,787390241,Start,15.4
Chad,Adoum Younousmi,787719236,Start,15.4
Chad,François Tombalbaye,787738541,C,15.4
Chad,Ahmat Hassaballah Soubiane,787910771,Stub,15.4
Chad,Ahmad Allam-Mi,787921293,Start,15.4
Chad,Laotegguelnodji Koumtog,788009613,Stub,15.4
Chad,Mahamat Ali Adoum,788014671,Start,15.4
Chad,Mahamat Saleh Annadif,788658822,Start,15.4
Chad,Mohamed Bechir-Sow,788827248,Stub,15.4
Chad,Gontchomé Sahoulba,788828388,Start,15.4
Chad,Gabriel Lisette,788828519,Start,15.4
Chad,Ali II of Bornu,788999424,Stub,15.4
Chad,Arabi El Goni,789126126,Stub,15.4
Chad,Dunama Dabbalemi,789935196,Start,15.4
Chad,Idris Alooma,792734868,Start,15.4
Chad,Mahamat Nouri,792954115,FA,15.4
Chad,Idriss Ndele Moussa,796654025,Start,15.4
Chad,Mbaydoum Simeon,796690873,Stub,15.4
Chad,Ngarindo Milengar,796700718,Stub,15.4
Chad,List of Prime Ministers of Chad,797747674,Start,15.4
Chad,Idriss Déby,798286150,C,15.4
Chad,Saleh Kebzabo,798626040,C,15.4
Chad,Moussa Faki,799043301,C,15.4
Chad,Kalzeubet Pahimi Deubet,799413193,Stub,15.4
Chad,Haroun Kabadi,799447895,Start,15.4
Chad,Nagoum Yamassoum,799447995,Start,15.4
Chad,Outel Bono,799448338,Start,15.4
Chad,Ahmat Acyl,799902492,C,15.4
Chad,Djimrangar Dadnadji,800133552,Start,15.4
Chad,Delwa Kassiré Koumakoye,801029539,C,15.4
Chad,Fidèle Moungar,801192255,C,15.4
Chad,Jean Alingué Bawoyeu,801192303,B,15.4
Chad,Emmanuel Nadingar,801573576,C,15.4
Chad,Roger Djikisna,801583221,Stub,15.4
Chad,Firmin Djidingar,801583260,Stub,15.4
Chad,Idris I of Kanem,802874918,Stub,15.4
Chad,Vice President of Chad,803166509,Stub,15.4
Chad,Hissène Habré,803166806,GA,15.4
Chad,Negue Djogo,803166989,Start,15.4
Chad,Wadel Abdelkader Kamougué,803167152,C,15.4
Chad,Félix Malloum,803167336,Start,15.4
Chad,Lol Mahamat Choua,803167424,C,15.4
Chad,Goukouni Oueddei,803167990,C,15.4
Chad,Albert Pahimi Padacké,803433107,C,15.4
Chad,List of heads of state of Chad,803812011,Start,15.4
Chad,Elise Loum,804773540,Start,15.4
Chad,Agnes Allafi,805493169,Start,15.4
Chad,Christine Georges Diguibaye,806337653,Stub,15.4
Chad,Pascal Yoadimnadji,806508985,Start,15.4
Chad,Aissa Koli,806616268,Start,15.4
Chad,Omar I of Kanem,807425129,Start,15.4
Cambodia,Yos Por,393822005,Stub,16
Cambodia,Than Sina,671073599,Stub,16
Cambodia,Ieu Pannakar,712085445,Stub,16
Cambodia,Taing Sunlay,713507166,Stub,16
Cambodia,Dul Koeun,714524609,Stub,16
Cambodia,Ly Kim Leang,714524624,Stub,16
Cambodia,Chhor Leang Huot,714524714,Stub,16
Cambodia,Thak Lany,714524870,Stub,16
Cambodia,Sok San,714525029,Stub,16
Cambodia,Tep Ngorn,714528164,Stub,16
Cambodia,Chan Cheng,714528251,Stub,16
Cambodia,Nhim Vanda,714528803,Stub,16
Cambodia,Pen Panha,714528886,Stub,16
Cambodia,Sieng Nam,714529109,Stub,16
Cambodia,So Khun,714529370,Stub,16
Cambodia,Nou Sam,714529507,Stub,16
Cambodia,Rath Sarem,716812326,Stub,16
Cambodia,Kong Vibol,726543264,Stub,16
Cambodia,Monh Saphan,726543284,Stub,16
Cambodia,Uk Rabun,726543336,Stub,16
Cambodia,Ay Khorn,726543872,Stub,16
Cambodia,Oung Ouen,726688556,Stub,16
Cambodia,List of Deputy Prime Ministers of Cambodia,730617957,Stub,16
Cambodia,Cambodian People's Party–FUNCINPEC coalition agreement,732331264,Stub,16
Cambodia,Chuop Hell,735512767,Stub,16
Cambodia,Kong Korm,736093077,Stub,16
Cambodia,Chan Nak,736538934,Stub,16
Cambodia,Huy Kanthoul,736539294,Stub,16
Cambodia,Vorn Vet,736715950,Stub,16
Cambodia,Yat Hwaidi,737025619,Stub,16
Cambodia,Khim Tit,737804996,Stub,16
Cambodia,Son Chhay,738180794,Start,16
Cambodia,Kep Chuktema,738478052,Start,16
Cambodia,Nuth Rumduol,738512371,Stub,16
Cambodia,Khieu Thavika,738804016,Stub,16
Cambodia,Norodom Phurissara,738987957,Start,16
Cambodia,Daran Kravanh,738989624,Stub,16
Cambodia,Sisowath Monireth,738992094,Start,16
