page,country,rev_id,articlequality
List of politicians in Poland,Poland,516633096,isionNotFound: Could not find revision ({revision}:516633096)
Tingtingru,Vanuatu,550682925,isionNotFound: Could not find revision ({revision}:550682925)
Daud Arsala,Afghanistan,627547024,isionNotFound: Could not find revision ({revision}:627547024)
Bharat Saud,Nepal,671484594,isionNotFound: Could not find revision ({revision}:671484594)
Robert Sych,Poland,684023803,isionNotFound: Could not find revision ({revision}:684023803)
Marek Krzysztof Jeleniewski,Poland,684023859,isionNotFound: Could not find revision ({revision}:684023859)
Narayani Datt Chataut,Nepal,698572327,isionNotFound: Could not find revision ({revision}:698572327)
Mohammad Amjad,Pakistan,699260156,tDeleted: Text deleted (datasource.revision.text)
Gomez das Mariñas,Spain,703773782,isionNotFound: Could not find revision ({revision}:703773782)
Kamlesh Arya,Fiji,706810694,isionNotFound: Could not find revision ({revision}:706810694)
Khaled Aghbariyya,Israel,709508670,isionNotFound: Could not find revision ({revision}:709508670)
Panu Laturi,Finland,711288191,isionNotFound: Could not find revision ({revision}:711288191)
Łukasz Kowalski,Poland,712872338,isionNotFound: Could not find revision ({revision}:712872338)
Blanka Olszewska,Poland,712872421,isionNotFound: Could not find revision ({revision}:712872421)
Janusz Jerzy Drozdalski,Poland,712872473,isionNotFound: Could not find revision ({revision}:712872473)
Piotr Michał Trzaska,Poland,712872531,isionNotFound: Could not find revision ({revision}:712872531)
Anna Teresa Piórkowska,Poland,712873183,isionNotFound: Could not find revision ({revision}:712873183)
Edward Ignacy Hartwich,Poland,712873308,isionNotFound: Could not find revision ({revision}:712873308)
Lech Andrzej Zagłoba-Zygler,Poland,712873386,isionNotFound: Could not find revision ({revision}:712873386)
Elżbieta Teresa Rusielewicz,Poland,712878000,isionNotFound: Could not find revision ({revision}:712878000)
Adam Wojciech Fórmaniak,Poland,712878267,isionNotFound: Could not find revision ({revision}:712878267)
Zbigniew Józef Sobociński,Poland,712878343,isionNotFound: Could not find revision ({revision}:712878343)
Bernadeta Aldona Różańska-Majchrzak,Poland,712878396,isionNotFound: Could not find revision ({revision}:712878396)
Jarosław Wenderlich,Poland,712881543,isionNotFound: Could not find revision ({revision}:712881543)
Ewa Joanna Starosta,Poland,712881676,isionNotFound: Could not find revision ({revision}:712881676)
Stanisław Grodzicki (politician),Poland,712881741,isionNotFound: Could not find revision ({revision}:712881741)
Tadeusz Mirosław Kondrusiewicz,Poland,712881882,isionNotFound: Could not find revision ({revision}:712881882)
Wojciech Hieronim Nowacki,Poland,712889562,isionNotFound: Could not find revision ({revision}:712889562)
Jacek Rosół,Poland,712889594,isionNotFound: Could not find revision ({revision}:712889594)
Tomasz Jan Rega,Poland,712889683,isionNotFound: Could not find revision ({revision}:712889683)
Marek Henryk Gralik,Poland,712889781,isionNotFound: Could not find revision ({revision}:712889781)
Michał Piotr Sztybel,Poland,712889809,isionNotFound: Could not find revision ({revision}:712889809)
Jacek Andrzej Bukowski,Poland,712891291,isionNotFound: Could not find revision ({revision}:712891291)
